Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
IRM,Iron Mountain Incorporated,34.81,$9.95B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/irm
JPM,J P Morgan Chase & Co,113.35,$380.96B,,Finance,Major Banks,https://www.nasdaq.com/symbol/jpm
SJM,J.M. Smucker Company (The),108.7,$12.34B,,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/sjm
JEC,Jacobs Engineering Group Inc.,66.12,$9.38B,,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/jec
JNJ,Johnson & Johnson,126.63,$339.64B,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jnj
JCI,Johnson Controls International plc,35.56,$32.94B,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/jci
JNPR,"Juniper Networks, Inc.",28.08,$9.8B,1999.0,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/jnpr
KSU,Kansas City Southern,111.08,$11.4B,,Transportation,Railroads,https://www.nasdaq.com/symbol/ksu
K,Kellogg Company,69.86,$24.23B,,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/k
KEY,KeyCorp,20.84,$22.07B,,Finance,Major Banks,https://www.nasdaq.com/symbol/key
KMB,Kimberly-Clark Corporation,105.44,$36.83B,,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/kmb
KIM,Kimco Realty Corporation,16.81,$7.14B,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/kim
KMI,"Kinder Morgan, Inc.",17.7,$39.05B,2011.0,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/kmi
KSS,Kohl&#39;s Corporation,74.01,$12.37B,1992.0,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/kss
KR,Kroger Company (The),28.29,$22.54B,,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/kr
LB,"L Brands, Inc.",31.53,$8.74B,,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/lb
LLL,"L3 Technologies, Inc.",200.41,$15.73B,,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/lll
LH,Laboratory Corporation of America Holdings,188.27,$19.26B,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/lh
LEG,"Leggett & Platt, Incorporated",44.98,$5.9B,,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/leg
LEN,Lennar Corporation,54.3,$17.89B,,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/len
LNC,Lincoln National Corporation,65.5,$14.33B,,Finance,Life Insurance,https://www.nasdaq.com/symbol/lnc
LMT,Lockheed Martin Corporation,318.33,$90.89B,,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/lmt
L,Loews Corporation,49.89,$15.93B,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/l
LOW,"Lowe&#39;s Companies, Inc.",101.16,$82.56B,,Consumer Services,RETAIL: Building Materials,https://www.nasdaq.com/symbol/low
LYB,LyondellBasell Industries NV,107.58,$42.35B,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/lyb
MTB,M&T Bank Corporation,174.63,$25.19B,,Finance,Major Banks,https://www.nasdaq.com/symbol/mtb
MAC,Macerich Company (The),57.59,$8.12B,1994.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/mac
